study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB12201	SAMEA3715883	ERS1023032	ERX1267829	ERR1194516	9644	Ursus arctos	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/006/ERR1194516/ERR1194516_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/006/ERR1194516/ERR1194516_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/006/ERR1194516/ERR1194516_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/006/ERR1194516/ERR1194516_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1104-W_S55_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1104-W_S55_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1104-W_S55_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1104-W_S55_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/006/ERR1194516	ftp.sra.ebi.ac.uk/vol1/err/ERR119/006/ERR1194516		
PRJEB12201	SAMEA3715884	ERS1023033	ERX1267830	ERR1194517	9644	Ursus arctos	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/007/ERR1194517/ERR1194517_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/007/ERR1194517/ERR1194517_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/007/ERR1194517/ERR1194517_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/007/ERR1194517/ERR1194517_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1105-W_S56_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1105-W_S56_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1105-W_S56_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1105-W_S56_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/007/ERR1194517	ftp.sra.ebi.ac.uk/vol1/err/ERR119/007/ERR1194517		
PRJEB12201	SAMEA3715885	ERS1023034	ERX1267831	ERR1194518	9644	Ursus arctos	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/008/ERR1194518/ERR1194518_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/008/ERR1194518/ERR1194518_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/008/ERR1194518/ERR1194518_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/008/ERR1194518/ERR1194518_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1110-W_S57_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1110-W_S57_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1110-W_S57_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1110-W_S57_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/008/ERR1194518	ftp.sra.ebi.ac.uk/vol1/err/ERR119/008/ERR1194518		
PRJEB12201	SAMEA3715886	ERS1023035	ERX1267832	ERR1194519	9644	Ursus arctos	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/009/ERR1194519/ERR1194519_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/009/ERR1194519/ERR1194519_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/009/ERR1194519/ERR1194519_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/009/ERR1194519/ERR1194519_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1202-W_S58_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1202-W_S58_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1202-W_S58_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1202-W_S58_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/009/ERR1194519	ftp.sra.ebi.ac.uk/vol1/err/ERR119/009/ERR1194519		
PRJEB12201	SAMEA3715887	ERS1023036	ERX1267833	ERR1194520	9644	Ursus arctos	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/000/ERR1194520/ERR1194520_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/000/ERR1194520/ERR1194520_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/000/ERR1194520/ERR1194520_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/000/ERR1194520/ERR1194520_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1204-W_S59_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1204-W_S59_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1204-W_S59_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1204-W_S59_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/000/ERR1194520	ftp.sra.ebi.ac.uk/vol1/err/ERR119/000/ERR1194520		
PRJEB12201	SAMEA3715888	ERS1023037	ERX1267834	ERR1194521	9644	Ursus arctos	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/001/ERR1194521/ERR1194521_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/001/ERR1194521/ERR1194521_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/001/ERR1194521/ERR1194521_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/001/ERR1194521/ERR1194521_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1207-W_S60_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1207-W_S60_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1207-W_S60_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1207-W_S60_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/001/ERR1194521	ftp.sra.ebi.ac.uk/vol1/err/ERR119/001/ERR1194521		
PRJEB12201	SAMEA3715889	ERS1023038	ERX1267835	ERR1194522	9644	Ursus arctos	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/002/ERR1194522/ERR1194522_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/002/ERR1194522/ERR1194522_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/002/ERR1194522/ERR1194522_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/002/ERR1194522/ERR1194522_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1209-W_S61_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1209-W_S61_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1209-W_S61_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1209-W_S61_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/002/ERR1194522	ftp.sra.ebi.ac.uk/vol1/err/ERR119/002/ERR1194522		
PRJEB12201	SAMEA3715890	ERS1023039	ERX1267836	ERR1194523	9644	Ursus arctos	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/003/ERR1194523/ERR1194523_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/003/ERR1194523/ERR1194523_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/003/ERR1194523/ERR1194523_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/003/ERR1194523/ERR1194523_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1209-W2_S62_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1209-W2_S62_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1209-W2_S62_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1209-W2_S62_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/003/ERR1194523	ftp.sra.ebi.ac.uk/vol1/err/ERR119/003/ERR1194523		
PRJEB12201	SAMEA3715891	ERS1023040	ERX1267837	ERR1194524	9644	Ursus arctos	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/004/ERR1194524/ERR1194524_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/004/ERR1194524/ERR1194524_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/004/ERR1194524/ERR1194524_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/004/ERR1194524/ERR1194524_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1303-W_S63_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1303-W_S63_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1303-W_S63_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1303-W_S63_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/004/ERR1194524	ftp.sra.ebi.ac.uk/vol1/err/ERR119/004/ERR1194524		
PRJEB12201	SAMEA3715892	ERS1023041	ERX1267838	ERR1194525	9644	Ursus arctos	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/005/ERR1194525/ERR1194525_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/005/ERR1194525/ERR1194525_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/005/ERR1194525/ERR1194525_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/005/ERR1194525/ERR1194525_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1304-W_S64_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1304-W_S64_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1304-W_S64_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1304-W_S64_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/005/ERR1194525	ftp.sra.ebi.ac.uk/vol1/err/ERR119/005/ERR1194525		
PRJEB12201	SAMEA3715893	ERS1023042	ERX1267839	ERR1194526	9644	Ursus arctos	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/006/ERR1194526/ERR1194526_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/006/ERR1194526/ERR1194526_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/006/ERR1194526/ERR1194526_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/006/ERR1194526/ERR1194526_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1305-W_S65_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1305-W_S65_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1305-W_S65_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1305-W_S65_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/006/ERR1194526	ftp.sra.ebi.ac.uk/vol1/err/ERR119/006/ERR1194526		
PRJEB12201	SAMEA3715894	ERS1023043	ERX1267840	ERR1194527	9644	Ursus arctos	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/007/ERR1194527/ERR1194527_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/007/ERR1194527/ERR1194527_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/007/ERR1194527/ERR1194527_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/007/ERR1194527/ERR1194527_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1306-W_S66_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1306-W_S66_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1306-W_S66_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1306-W_S66_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/007/ERR1194527	ftp.sra.ebi.ac.uk/vol1/err/ERR119/007/ERR1194527		
PRJEB12201	SAMEA3715895	ERS1023044	ERX1267841	ERR1194528	9644	Ursus arctos	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/008/ERR1194528/ERR1194528_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/008/ERR1194528/ERR1194528_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/008/ERR1194528/ERR1194528_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/008/ERR1194528/ERR1194528_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1315-W_S67_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1315-W_S67_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1315-W_S67_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1315-W_S67_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/008/ERR1194528	ftp.sra.ebi.ac.uk/vol1/err/ERR119/008/ERR1194528		
PRJEB12201	SAMEA3715896	ERS1023045	ERX1267842	ERR1194529	9644	Ursus arctos	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/009/ERR1194529/ERR1194529_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/009/ERR1194529/ERR1194529_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/009/ERR1194529/ERR1194529_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/009/ERR1194529/ERR1194529_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1316-W_S68_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1316-W_S68_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1316-W_S68_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1316-W_S68_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/009/ERR1194529	ftp.sra.ebi.ac.uk/vol1/err/ERR119/009/ERR1194529		
PRJEB12201	SAMEA3715897	ERS1023046	ERX1267843	ERR1194530	9644	Ursus arctos	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/000/ERR1194530/ERR1194530_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/000/ERR1194530/ERR1194530_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/000/ERR1194530/ERR1194530_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR119/000/ERR1194530/ERR1194530_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1317-W_S69_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1317-W_S69_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1317-W_S69_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA548/ERA548624/fastq/B-1317-W_S69_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR119/000/ERR1194530	ftp.sra.ebi.ac.uk/vol1/err/ERR119/000/ERR1194530		
